sample_id,date,feature_name,location,code,pcs/m,quantity,parent_boundary,length,groupname,city,feature_type,canton
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G158,0.0,0,ticino,73.0,packaging non food,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G210,0.0,0,ticino,73.0,unclassified,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G7,0.0,0,ticino,73.0,food and drink,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G926,0.0,0,ticino,73.0,food and drink,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G923,0.0,0,ticino,73.0,personal items,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G702,0.0,0,ticino,73.0,infrastructure,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G177,0.0,0,ticino,73.0,food and drink,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G706,0.0,0,ticino,73.0,recreation,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G34,0.0,0,ticino,73.0,food and drink,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G35,0.0,0,ticino,73.0,food and drink,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G712,0.0,0,ticino,73.0,recreation,Gambarogno,l,Ticino
